Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Children out of school, primary",SE.PRM.UNER,..,..,1861,2720,2616,3377,5478,10049,14839,..
Algeria,DZA,"Children out of school, primary",SE.PRM.UNER,14227,12378,15313,9352,5209,5260,13261,8909,29307,46538
American Samoa,ASM,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Children out of school, primary",SE.PRM.UNER,373,390,357,345,342,367,427,372,322,..
Angola,AGO,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Children out of school, primary",SE.PRM.UNER,37,80,110.76000213623,128,84,23.113000869751,..,..,..,..
Argentina,ARG,"Children out of school, primary",SE.PRM.UNER,32547,36786,21844,24868,27507,26727,36021,34663,..,..
Armenia,ARM,"Children out of school, primary",SE.PRM.UNER,2737,525,950,1383,1476,5465,8326,13300,15608,..
Aruba,ABW,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Children out of school, primary",SE.PRM.UNER,1480,592,168,1273,4291,4836,13192,8348,6721,..
Austria,AUT,"Children out of school, primary",SE.PRM.UNER,4200,4351,6546,4410,4209,4146,3979,3232,5781,..
Azerbaijan,AZE,"Children out of school, primary",SE.PRM.UNER,3638,5980,4338,12166,24803,55687,54317,52916,27450,..
"Bahamas, The",BHS,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Children out of school, primary",SE.PRM.UNER,434,419,445,599,1882,2798,..,..,10059,..
Bangladesh,BGD,"Children out of school, primary",SE.PRM.UNER,..,..,..,407072.1875,72080.7265625,..,..,..,..,..
Barbados,BRB,"Children out of school, primary",SE.PRM.UNER,1077,810,472,923,683,465,536,841,1272,..
Belarus,BLR,"Children out of school, primary",SE.PRM.UNER,20231,18474,17666,18734,22244,26868,28372,28438,28733,..
Belgium,BEL,"Children out of school, primary",SE.PRM.UNER,13738,14170,14994,10963,10723,10858,9921,11848,..,..
Belize,BLZ,"Children out of school, primary",SE.PRM.UNER,237,175,224,104,193,420,255,2670,4353,..
Benin,BEN,"Children out of school, primary",SE.PRM.UNER,60549,..,55365,55316,108261,199011,216214,162954,114877,..
Bermuda,BMU,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Children out of school, primary",SE.PRM.UNER,..,11025,11289,11061,8776,..,4976,3534,4229,..
Bolivia,BOL,"Children out of school, primary",SE.PRM.UNER,155614,155958,145719,125129,101618,84476,71200,58725,47675,..
Bosnia and Herzegovina,BIH,"Children out of school, primary",SE.PRM.UNER,20901,20251,17677,15574,17135,..,22307,23643,24341,..
Botswana,BWA,"Children out of school, primary",SE.PRM.UNER,52690,..,..,..,..,..,..,71445,..,..
Brazil,BRA,"Children out of school, primary",SE.PRM.UNER,600337,658888,630849,619485,709047,612571,658477,768294,..,..
British Virgin Islands,VGB,"Children out of school, primary",SE.PRM.UNER,44,1,1,..,307,28,..,..,21,..
Brunei Darussalam,BRN,"Children out of school, primary",SE.PRM.UNER,74.5350036621094,258.981994628906,93.9929962158203,195.488998413086,361.89599609375,1676,1002,..,..,..
Bulgaria,BGR,"Children out of school, primary",SE.PRM.UNER,7280,8859,12289,16476,20117,26490,32728,36271,..,..
Burkina Faso,BFA,"Children out of school, primary",SE.PRM.UNER,1023277,1021974,886047,888518,848233,922460,1047596,1093912,1240018,..
Burundi,BDI,"Children out of school, primary",SE.PRM.UNER,96983,141303,177771,271114,341577,389499,391711,431613,456804,..
Cabo Verde,CPV,"Children out of school, primary",SE.PRM.UNER,6045,6356,6999,7464,7338,7286,7766,6905,..,..
Cambodia,KHM,"Children out of school, primary",SE.PRM.UNER,120656,98178,117988,132247,111583,98506,118187,159427,253273,..
Cameroon,CMR,"Children out of school, primary",SE.PRM.UNER,187532,178741,193248,265113,695710,358240,193153.609375,192493,175616,..
Canada,CAN,"Children out of school, primary",SE.PRM.UNER,11324,6729,34190,29345,23797,54453,56178,91895,..,..
Cayman Islands,CYM,"Children out of school, primary",SE.PRM.UNER,130.804992675781,384.153015136719,267.097991943359,220.585006713867,181,269,371,727,696,..
Central African Republic,CAF,"Children out of school, primary",SE.PRM.UNER,..,..,..,140699,..,..,..,..,..,..
Chad,TCD,"Children out of school, primary",SE.PRM.UNER,..,512100,700563,885415,755466,808970,..,785910,804214,..
Channel Islands,CHI,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Children out of school, primary",SE.PRM.UNER,42632,39559,36474,34398,28869,24658,35186,33577,19938,..
China,CHN,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Colombia,COL,"Children out of school, primary",SE.PRM.UNER,..,131741,201303,156491,180919,193970,238138,274954,289296,..
Comoros,COM,"Children out of school, primary",SE.PRM.UNER,9423,..,..,10766,14791,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,"Children out of school, primary",SE.PRM.UNER,..,393205,..,..,188172,..,..,..,..,..
Costa Rica,CRI,"Children out of school, primary",SE.PRM.UNER,22764,26205,25018,30759,16668,13067,17880,20873,21213,..
Cote d'Ivoire,CIV,"Children out of school, primary",SE.PRM.UNER,1162501,1071248,730548,704168,531743,488219,421374,461941,438977,255973
Croatia,HRV,"Children out of school, primary",SE.PRM.UNER,2329,2337,2904,2415,2515,3317,3138,3137,..,..
Cuba,CUB,"Children out of school, primary",SE.PRM.UNER,17298,20101,19546,21567,21064,19330,15970,16309,32949,..
Curacao,CUW,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,47,..,..,..
Cyprus,CYP,"Children out of school, primary",SE.PRM.UNER,1217,758,961,754,329,295,241,39,..,..
Czechia,CZE,"Children out of school, primary",SE.PRM.UNER,8735,11683,14425,17219,12319,10921,8739,8684,..,..
Denmark,DNK,"Children out of school, primary",SE.PRM.UNER,2850,2904,3160,2634,1772,1854,1599,2078,2548,..
Djibouti,DJI,"Children out of school, primary",SE.PRM.UNER,53528,59329,62035,59149,56366,50535,48923,47713,46432,..
Dominica,DMA,"Children out of school, primary",SE.PRM.UNER,41,218,261,..,..,934,752,811,776,..
Dominican Republic,DOM,"Children out of school, primary",SE.PRM.UNER,88257,46019,49157,59410,64074,44717,45342,119266,86746,..
